PM_Diff_Amt,PM_Diff_Category_Val,Precip_12AM-6AM,Precip_6AM-10AM,Precip_6AM-12PM,WindSpeed_12AM-6AM_avg_val,WindSpeed_6AM-10AM_avg_val,WindSpeed_10AM-2PM_avg_val,open_price,prior_day_open_price,prior_day_open_diff,prior_day_trend,yesterday_avg_diff,yesterday_avg_trend
2.0,Same_Activity,No Precip,No Precip,No Precip,3.25,6.0,13.38,5.9625,6.0575,-0.095,Worse (<-.05),0.0125,Nominal Change
-2.0,Same_Activity,No Precip,No Precip,No Precip,16.18,13.13,9.13,6.435,6.4133,0.0217,Slightly Better (>.02),0.0325,Slightly Better (>.02)
-3.0,Same_Activity,No Precip,Light Precip,Light Precip,5.95,10.0,12.15,6.4675,6.435,0.0325,Slightly Better (>.02),0.0325,Slightly Better (>.02)
0.0,Same_Activity,Precip,Light Precip,Light Precip,18.03,12.88,7.4,6.565,6.4675,0.0975,Better (>.05),0.0433,Slightly Better (>.02)
-5.0,Same_Activity,No Precip,No Precip,No Precip,6.22,2.63,5.45,6.5325,6.565,-0.0325,Slightly Worse (<-.02),0.1138,Significantly Better (>.10)
-6.0,Less_Activity,No Precip,No Precip,No Precip,3.3,4.38,7.88,6.505,6.5325,-0.0275,Slightly Worse (<-.02),0.0163,Nominal Change
-7.0,Less_Activity,No Precip,No Precip,No Precip,3.25,6.0,10.38,6.625,6.585,0.04,Slightly Better (>.02),0.06,Better (>.05)
-10.0,Less_Activity,No Precip,No Precip,No Precip,9.25,9.13,8.5,6.5875,6.625,-0.0375,Slightly Worse (<-.02),0.06,Better (>.05)
-6.0,Less_Activity,No Precip,No Precip,Light Precip,6.25,3.88,11.38,6.5675,6.5875,-0.02,Slightly Worse (<-.02),-0.0175,Nominal Change
-4.0,Same_Activity,No Precip,Light Precip,Light Precip,10.92,6.58,13.75,6.4875,6.5675,-0.08,Worse (<-.05),-0.0388,Slightly Worse (<-.02)
-8.0,Less_Activity,No Precip,No Precip,No Precip,10.58,3.38,5.88,6.465,6.4875,-0.0225,Slightly Worse (<-.02),-0.09,Worse (<-.05)
-2.0,Same_Activity,Light Precip,Light Precip,Light Precip,8.25,6.78,7.7,6.53,6.5083,0.0217,Slightly Better (>.02),0.0325,Slightly Better (>.02)
-6.0,Less_Activity,No Precip,No Precip,No Precip,1.75,1.25,8.13,6.75,6.53,0.22,Significantly Better (>.10),0.0325,Slightly Better (>.02)
-3.0,Same_Activity,No Precip,No Precip,No Precip,5.58,7.75,4.5,6.685,6.7225,-0.0375,Slightly Worse (<-.02),0.0825,Better (>.05)
-6.0,Less_Activity,No Precip,No Precip,No Precip,2.0,6.25,10.25,6.7225,6.685,0.0375,Slightly Better (>.02),-0.0513,Worse (<-.05)
-1.0,Same_Activity,No Precip,No Precip,No Precip,10.92,14.38,16.0,6.635,6.6642,-0.0292,Slightly Worse (<-.02),-0.0438,Slightly Worse (<-.02)
1.0,Same_Activity,No Precip,No Precip,No Precip,7.25,8.63,7.48,6.475,6.635,-0.16,Significantly Worse (<-.10),-0.0438,Slightly Worse (<-.02)
-2.0,Same_Activity,No Precip,Light Precip,Light Precip,6.33,8.25,8.5,6.45,6.42,0.03,Slightly Better (>.02),-0.135,Significantly Worse (<-.10)
-1.0,Same_Activity,Light Precip,No Precip,No Precip,14.75,16.63,21.25,6.3775,6.4017,-0.0242,Slightly Worse (<-.02),-0.0363,Slightly Worse (<-.02)
-3.0,Same_Activity,No Precip,No Precip,No Precip,20.83,19.0,22.63,6.31,6.3775,-0.0675,Worse (<-.05),-0.0363,Slightly Worse (<-.02)
-7.0,Less_Activity,No Precip,No Precip,No Precip,14.33,12.7,9.45,6.2,6.31,-0.11,Significantly Worse (<-.10),-0.0796,Worse (<-.05)
-11.0,Less_Activity,No Precip,No Precip,No Precip,9.67,14.0,14.5,6.06,6.2,-0.14,Significantly Worse (<-.10),-0.1438,Significantly Worse (<-.10)
-12.0,Less_Activity,No Precip,No Precip,No Precip,11.17,8.38,5.88,6.44,6.06,0.38,Significantly Better (>.10),-0.195,Significantly Worse (<-.10)
-15.0,Less_Activity,No Precip,No Precip,No Precip,20.83,19.13,17.25,6.55,6.5133,0.0367,Slightly Better (>.02),0.055,Better (>.05)
-23.0,Less_Activity,No Precip,No Precip,No Precip,13.88,17.18,15.0,6.6025,6.55,0.0525,Better (>.05),0.055,Better (>.05)
-28.0,Less_Activity,No Precip,No Precip,No Precip,4.83,6.38,10.0,6.5575,6.6025,-0.045,Slightly Worse (<-.02),0.0708,Better (>.05)
-40.0,Less_Activity,No Precip,No Precip,No Precip,10.42,11.75,9.38,6.58,6.5575,0.0225,Slightly Better (>.02),-0.0188,Nominal Change
-34.0,Less_Activity,No Precip,No Precip,No Precip,10.5,16.63,17.0,6.495,6.5163,-0.0213,Slightly Worse (<-.02),-0.0319,Slightly Worse (<-.02)
-32.0,Less_Activity,No Precip,No Precip,No Precip,5.75,14.13,15.38,6.345,6.495,-0.15,Significantly Worse (<-.10),-0.0319,Slightly Worse (<-.02)
-19.0,Less_Activity,No Precip,No Precip,No Precip,8.08,5.75,1.63,6.36,6.345,0.015,Nominal Change,-0.1606,Significantly Worse (<-.10)
-21.0,Less_Activity,No Precip,No Precip,No Precip,1.83,2.13,8.25,6.39,6.36,0.03,Slightly Better (>.02),-0.06,Worse (<-.05)
-14.0,Less_Activity,No Precip,Light Precip,Light Precip,15.5,17.75,24.0,6.28,6.39,-0.11,Significantly Worse (<-.10),0.0375,Slightly Better (>.02)
-10.0,Less_Activity,Light Precip,No Precip,No Precip,20.53,20.98,17.88,6.23,6.2467,-0.0167,Nominal Change,-0.025,Slightly Worse (<-.02)
-22.0,Less_Activity,No Precip,No Precip,No Precip,1.0,3.88,7.88,6.165,6.23,-0.065,Worse (<-.05),-0.025,Slightly Worse (<-.02)
